"method","covariate","component","estimate","std.error","conf.low","conf.high","z","p.value","p.adj"
"GSCA-MM","year2020","comp1",-0.367154255914767,0.787892747422399,-1.91139566454298,1.17708715271345,-0.465995222212562,0.641218920447244,0.986647183283612
"GSCA-MM","year2021","comp1",-0.598350549679676,0.795686886913117,-2.15786819100018,0.961167091640827,-0.751992472819289,0.452055585428456,0.986647183283612
"GSCA-MM","partydemocratic","comp1",0.186505363761815,0.761160787730881,-1.30534236663485,1.67835309415848,0.245027551035323,0.806435098834302,0.986647183283612
"GSCA-MM","candidate_typevice_president","comp1",-0.0130781942329303,0.781438281979224,-1.54466908305306,1.5185126945872,-0.0167360552132228,0.986647183283612,0.986647183283612
"GSCA-MM","year2020","comp2",-0.370587998122484,0.733714547874538,-1.80864208688967,1.0674660906447,-0.505084707937198,0.613499341466234,0.986647183283612
"GSCA-MM","year2021","comp2",-0.687984885703729,0.74097273568146,-2.14026476116551,0.764294989758049,-0.928488799349684,0.353154075178924,0.986647183283612
"GSCA-MM","partydemocratic","comp2",-0.123694817542393,0.708820769142561,-1.51295799655579,1.26556836147101,-0.174507891031498,0.861466329772152,0.986647183283612
"GSCA-MM","candidate_typevice_president","comp2",0.392611856509643,0.727703913546574,-1.03366160545049,1.81888531846978,0.539521430627176,0.589527113737371,0.986647183283612
"GSCA-MM","year2020","comp3",-0.351510421163149,0.808754242022358,-1.93663960787096,1.23361876554466,-0.434631935016709,0.663829610937859,0.986647183283612
"GSCA-MM","year2021","comp3",-0.718834350284659,0.816754751478314,-2.31964424738412,0.881975546814799,-0.88011039909297,0.378799506184968,0.986647183283612
"GSCA-MM","partydemocratic","comp3",0.202881045269468,0.781314484683792,-1.32846720531024,1.73422929584917,0.259666304985471,0.795121185993152,0.986647183283612
"GSCA-MM","candidate_typevice_president","comp3",-0.0271135680325675,0.802128877943006,-1.59925727976038,1.54503014369525,-0.0338020095998763,0.973035033433849,0.986647183283612
"GSCA-MM","year2020","comp4",-0.154862221258441,0.676404999943879,-1.48059166011126,1.17086721759438,-0.228948959974112,0.818908586478687,0.986647183283612
"GSCA-MM","year2021","comp4",-0.895453997863063,0.683096259558882,-2.2342980645725,0.443390068846371,-1.31087527611601,0.189899905079556,0.986647183283612
"GSCA-MM","partydemocratic","comp4",1.42576683191669,0.653455643889015,0.14501730439979,2.70651635943359,2.1818877000301,0.0291178218401772,0.582356436803545
"GSCA-MM","candidate_typevice_president","comp4",0.399826277364926,0.67086384892807,-0.91504270506401,1.71469525979386,0.595987215593421,0.551183767313347,0.986647183283612
"GSCA-MM","year2020","comp5",0.0201913365767426,0.807448991630729,-1.56237960637267,1.60276227952616,0.0250063307850123,0.980049913952569,0.986647183283612
"GSCA-MM","year2021","comp5",-0.721235862303492,0.815436589045477,-2.31946220850881,0.876990483901831,-0.884478170335411,0.376438141437654,0.986647183283612
"GSCA-MM","partydemocratic","comp5",-0.187329736794817,0.78005351938169,-1.71620654079665,1.34154706720701,-0.240149851440071,0.81021408887786,0.986647183283612
"GSCA-MM","candidate_typevice_president","comp5",-0.321448305819174,0.800834320242197,-1.8910547310775,1.24815811943915,-0.401391770674811,0.688131707233322,0.986647183283612
"LDA+ALR","year2020","comp1",0.233888810787768,0.121137479924045,-0.00353628704130374,0.47131390861684,1.93077164007721,0.0535112989751026,0.169298076465595
"LDA+ALR","year2021","comp1",-0.200368945487007,0.155760659144605,-0.505654227618652,0.104916336644638,-1.28638994331032,0.198307006399699,0.360558193453999
"LDA+ALR","partydemocratic","comp1",-0.58731278839305,0.187579359684385,-0.954961577617529,-0.219663999168572,-3.13100966642196,0.00174206426367733,0.0116137617578489
"LDA+ALR","candidate_typevice_president","comp1",-0.13437692719861,0.167126065328317,-0.46193799612,0.193184141722779,-0.804045299185549,0.421370813964277,0.551533127099841
"LDA+ALR","year2020","comp2",-0.000487169853301612,0.192964709353976,-0.378691050474334,0.37771671076773,-0.00252465777256682,0.99798561668187,0.99798561668187
"LDA+ALR","year2021","comp2",0.000889050237012644,0.162231557781069,-0.317078960169711,0.318857060643736,0.00548013129610957,0.995627509733326,0.99798561668187
"LDA+ALR","partydemocratic","comp2",-0.358009434148486,0.231158751499095,-0.811072261797956,0.0950533935009848,-1.5487600267208,0.121439418022039,0.269865373382308
"LDA+ALR","candidate_typevice_president","comp2",0.261395559188503,0.243499094295139,-0.215853895898092,0.738645014275098,1.07349704911704,0.283048161946385,0.438464124510051
"LDA+ALR","year2020","comp3",-0.224903233624599,0.171262135528179,-0.560570851175248,0.11076438392605,-1.31321049414098,0.189112028790936,0.360558193453999
"LDA+ALR","year2021","comp3",-0.402511657775262,0.14274383181007,-0.682284427138242,-0.122738888412282,-2.81981822031253,0.00480508611422249,0.0240254305711124
"LDA+ALR","partydemocratic","comp3",-0.334156368335648,0.17714896294137,-0.681361955599354,0.0130492189280576,-1.88630157799028,0.0592543267629582,0.169298076465595
"LDA+ALR","candidate_typevice_president","comp3",-0.216299793476253,0.202309883749304,-0.612819879341374,0.180220292388868,-1.06915089598037,0.285001680931533,0.438464124510051
"LDA+ALR","year2020","comp4",0.0965639439780176,0.106039864147281,-0.111270370676174,0.304398258632209,0.910638133635267,0.362486071083352,0.517837244404789
