"method","rmse_theta","rmse_theta_R","rmse_theta_map","rmse_phi","rmse_B","coverage_B","width_B","perplexity","time","theta_kind","phi_init","iters_converged","converged","polish_n_converged","scenario","replicate","seed"
"gscamm",0.153528997485507,0.237019188259352,0.153528997485507,0.00441214694396576,0.78808816331856,0.722222222222222,1.70138435436409,191.469959992079,2.53143835067749,"structural","kmeans",37,TRUE,NA,"baseline",1,853315193
"gscamm_boot",0.153528997485507,0.237019188259352,0.153528997485507,0.00441214694396576,0.844167223088901,1,21.2949148747333,191.469959992079,970.399256944656,"structural","kmeans",37,TRUE,NA,"baseline",1,853315193
"lda",0.0598616277479245,0.0598616277479245,0.0598616277479245,0.00511421258073253,0.828824143858963,0.111111111111111,0.222466158972199,168.123378255778,36.6850688457489,"posterior","random_dirichlet",NA,NA,NA,"baseline",1,853315193
"stm",0.031156887615667,0.031156887615667,0.031156887615667,0.00364206369251023,0.729386241427396,0.0416666666666667,0.156777828692776,165.124322705057,9.07980918884277,"posterior","spectral",NA,NA,NA,"baseline",1,853315193
NA,0.156753252463903,0.156753252463903,0.156753252463903,0.00689865619745381,1.17659374208523,0.0972222222222222,0.140008558905859,170.793992463552,31.0319805145264,"posterior","random",NA,NA,NA,"baseline",1,853315193
"gscamm",0.155162662646006,0.210459285648724,0.155162662646006,0.00388304360982867,0.913113631734486,0.638888888888889,1.70141772225596,184.24182436892,2.27268648147583,"structural","kmeans",41,TRUE,NA,"baseline",2,601901350
"gscamm_boot",0.155162662646006,0.210459285648724,0.155162662646006,0.00388304360982867,0.868434437771744,1,21.6659404490371,184.24182436892,842.995494604111,"structural","kmeans",41,TRUE,NA,"baseline",2,601901350
"lda",0.126533498991937,0.126533498991937,0.126533498991937,0.00403228670582649,1.38626411773978,0.0416666666666667,0.281434810449871,154.57458200883,35.5475013256073,"posterior","random_dirichlet",NA,NA,NA,"baseline",2,601901350
"stm",0.0442762108191831,0.0442762108191831,0.0442762108191831,0.00319174620213413,0.680725000428207,0.208333333333333,0.177797853065806,153.883910486155,7.3769416809082,"posterior","spectral",NA,NA,NA,"baseline",2,601901350
NA,0.105508451020282,0.105508451020282,0.105508451020282,0.00617557141144239,0.768498724218817,0.138888888888889,0.151363396140624,159.911830852737,31.7426528930664,"posterior","random",NA,NA,NA,"baseline",2,601901350
"gscamm",0.158973811021582,0.216679177054439,0.158973811021582,0.00359365919994739,0.929247459098404,0.583333333333333,1.74695881905204,187.064320699418,2.03532147407532,"structural","kmeans",40,TRUE,NA,"baseline",3,237766255
"gscamm_boot",0.158973811021582,0.216679177054439,0.158973811021582,0.00359365919994739,0.913008735312601,1,22.8889724035462,187.064320699418,764.674642086029,"structural","kmeans",40,TRUE,NA,"baseline",3,237766255
"lda",0.12769609022536,0.12769609022536,0.12769609022536,0.00353271394796879,1.46948070175422,0.0138888888888889,0.244020105376928,154.699888976731,46.9674623012543,"posterior","random_dirichlet",NA,NA,NA,"baseline",3,237766255
"stm",0.0818833903649639,0.0818833903649639,0.0818833903649639,0.00378241812979427,1.30480848204396,0.0833333333333333,0.190409832452426,154.346804423699,8.24455213546753,"posterior","spectral",NA,NA,NA,"baseline",3,237766255
NA,0.0900304954037237,0.0900304954037237,0.0900304954037237,0.00535126305214787,1.16080440976535,0.0138888888888889,0.1912196152961,156.70382519779,47.3542082309723,"posterior","random",NA,NA,NA,"baseline",3,237766255
"gscamm",0.138673308736681,0.225991398890133,0.138673308736681,0.00460335430656411,0.821656792516996,0.694444444444444,1.64281629752656,186.53076434537,2.66718411445618,"structural","kmeans",38,TRUE,NA,"baseline",4,2002443372
"gscamm_boot",0.138673308736681,0.225991398890133,0.138673308736681,0.00460335430656411,0.832667455751133,1,20.2884044211314,186.53076434537,1038.47673583031,"structural","kmeans",38,TRUE,NA,"baseline",4,2002443372
"lda",0.156367732708037,0.156367732708037,0.156367732708037,0.00432350685767098,1.4203830226849,0.0555555555555556,0.212789070463706,159.197666346194,52.6716012954712,"posterior","random_dirichlet",NA,NA,NA,"baseline",4,2002443372
"stm",0.03966580787177,0.03966580787177,0.03966580787177,0.00347230707688968,0.770610491183923,0.125,0.158264324991288,158.356030408799,6.76973342895508,"posterior","spectral",NA,NA,NA,"baseline",4,2002443372
NA,0.164182706701005,0.164182706701005,0.164182706701005,0.00772618042990275,1.5480106030959,0.0694444444444444,0.141267709585353,171.617931676172,25.6922829151154,"posterior","random",NA,NA,NA,"baseline",4,2002443372
"gscamm",0.137261329911514,0.236488162690314,0.137261329911514,0.00434088179594229,0.784337121180938,0.736111111111111,1.72407594489553,210.855803094673,1.98719835281372,"structural","kmeans",38,TRUE,NA,"baseline",5,1084462256
"gscamm_boot",0.137261329911514,0.236488162690314,0.137261329911514,0.00434088179594229,0.818751922979055,1,21.7415319254465,210.855803094673,908.698704242706,"structural","kmeans",38,TRUE,NA,"baseline",5,1084462256
"lda",0.079419754165426,0.079419754165426,0.079419754165426,0.00348496002145617,0.99431448714841,0.194444444444444,0.201575734614761,177.86987542503,55.2741792201996,"posterior","random_dirichlet",NA,NA,NA,"baseline",5,1084462256
"stm",0.0112991218459674,0.0112991218459674,0.0112991218459674,0.000487823560304162,0.0944563955869612,0.5,0.11647449141203,177.819081294361,8.74782967567444,"posterior","spectral",NA,NA,NA,"baseline",5,1084462256
NA,0.114522270989858,0.114522270989858,0.114522270989858,0.00536594935541186,1.1792420946215,0.0555555555555556,0.129271274881202,184.707521325897,33.1669464111328,"posterior","random",NA,NA,NA,"baseline",5,1084462256
"gscamm",0.149615953814111,0.233550872052102,0.149615953814111,0.00417684012556779,0.799979961392816,0.763888888888889,1.79446790945263,202.255091713472,2.95669746398926,"structural","kmeans",40,TRUE,NA,"baseline",6,25473311
"gscamm_boot",0.149615953814111,0.233550872052102,0.149615953814111,0.00417684012556779,0.947579274145015,1,23.7078337543481,202.255091713472,1027.84821033478,"structural","kmeans",40,TRUE,NA,"baseline",6,25473311
"lda",0.13534647946038,0.13534647946038,0.13534647946038,0.00474210586357338,1.13780412168694,0.111111111111111,0.226313494032137,174.877354813902,47.2209365367889,"posterior","random_dirichlet",NA,NA,NA,"baseline",6,25473311
"stm",0.0112819197357571,0.0112819197357571,0.0112819197357571,0.000749838499668733,0.110078860547195,0.416666666666667,0.109680630976805,169.57432883075,9.77337241172791,"posterior","spectral",NA,NA,NA,"baseline",6,25473311
