"method","rmse_theta","rmse_theta_R","rmse_theta_map","rmse_phi","rmse_B","coverage_B","width_B","perplexity","time","theta_kind","phi_init","iters_converged","converged","polish_n_converged","scenario","replicate","seed"
"gscamm",0.168627737719909,0.214160874627463,0.168627737719909,0.0040638622066204,1.02607471748353,0.555555555555556,1.74117503605399,162.878596523489,2.02603936195374,"structural","kmeans",40,TRUE,NA,"baseline",8,660691800
"gscamm_boot",0.168627737719909,0.214160874627463,0.168627737719909,0.0040638622066204,1.04664548758211,1,22.1304507380137,162.878596523489,978.581545352936,"structural","kmeans",40,TRUE,NA,"baseline",8,660691800
"lda",0.10368572383453,0.10368572383453,0.10368572383453,0.00371121094278946,1.3444897331225,0.111111111111111,0.299450120406594,136.58846628139,51.6979792118073,"posterior","random_dirichlet",NA,NA,NA,"baseline",8,660691800
"stm",0.00824771329159711,0.00824771329159711,0.00824771329159711,0.000723122889241292,0.129748355002593,0.472222222222222,0.162515981119891,136.644705672398,6.94149661064148,"posterior","spectral",NA,NA,NA,"baseline",8,660691800
"gscamm",0.146222874113368,0.21189464377826,0.146222874113368,0.00425965996085142,0.813762051556035,0.805555555555556,1.8308812011805,185.0001774488,1.97692513465881,"structural","kmeans",45,TRUE,NA,"baseline",9,194117711
"gscamm_boot",0.146222874113368,0.21189464377826,0.146222874113368,0.00425965996085142,0.840290610435503,1,24.8653060951652,185.0001774488,1031.80063796043,"structural","kmeans",45,TRUE,NA,"baseline",9,194117711
"lda",0.112214923061026,0.112214923061026,0.112214923061026,0.00522686539972976,0.917180753415445,0.277777777777778,0.279109729313643,166.528077780287,33.9823966026306,"posterior","random_dirichlet",NA,NA,NA,"baseline",9,194117711
"stm",0.0323019339521473,0.0323019339521473,0.0323019339521473,0.00355418256203781,0.528797353476992,0.0416666666666667,0.16917322782648,159.026118636028,5.1027672290802,"posterior","spectral",NA,NA,NA,"baseline",9,194117711
"gscamm",0.123307143498112,0.222226915428233,0.123307143498112,0.00402778884829501,0.597345396862422,0.875,1.89575136291242,221.109600577762,4.33634567260742,"structural","kmeans",78,TRUE,NA,"baseline",10,1364984942
"gscamm_boot",0.123307143498112,0.222226915428233,0.123307143498112,0.00402778884829501,0.908800905569063,1,26.4095092999235,221.109600577762,1057.16568875313,"structural","kmeans",78,TRUE,NA,"baseline",10,1364984942
"lda",0.0741654285951883,0.0741654285951883,0.0741654285951883,0.00320964273755211,0.77870975205333,0.194444444444444,0.213800909864741,191.974189231266,71.0470969676971,"posterior","random_dirichlet",NA,NA,NA,"baseline",10,1364984942
