"method","rmse_theta","rmse_theta_R","rmse_theta_map","rmse_phi","rmse_B","coverage_B","width_B","perplexity","time","theta_kind","phi_init","iters_converged","converged","polish_n_converged","scenario","replicate","seed"
"lda",0.0847381218804579,0.0847381218804579,0.0847381218804579,0.0037744451721941,1.02194148708359,0.194444444444444,0.228442651984432,181.073119936918,63.9286451339722,"posterior","random_dirichlet",NA,NA,NA,"baseline",25,82525317
"stm",0.0145043398542125,0.0145043398542125,0.0145043398542125,0.000910414283366711,0.114487744167293,0.333333333333333,0.105561380117423,180.479968199927,7.70437264442444,"posterior","spectral",NA,NA,NA,"baseline",25,82525317
NA,0.130832802233213,0.130832802233213,0.130832802233213,0.00534015785813046,1.19642137608679,0.0277777777777778,0.129621785175393,187.630551521947,26.7088134288788,"posterior","random",NA,NA,NA,"baseline",25,82525317
"gscamm",0.158487423780528,0.2082649678222,0.0841216205099957,0.00400905430470095,0.905945571329259,0.638888888888889,1.59670695806614,188.096608915476,8.59738302230835,"structural","kmeans",50,TRUE,296,"baseline",26,2026414573
"gscamm_boot",0.158487423780528,0.2082649678222,0.0841216205099957,0.00400905430470095,0.800198984538368,1,19.3829191081753,188.096608915476,940.359585285187,"structural","kmeans",50,TRUE,296,"baseline",26,2026414573
"lda",0.090767194988653,0.090767194988653,0.090767194988653,0.00312178724781677,1.01932916922641,0.125,0.242123349756294,159.482765362472,35.8749046325684,"posterior","random_dirichlet",NA,NA,NA,"baseline",26,2026414573
"stm",0.0690010938553385,0.0690010938553385,0.0690010938553385,0.0032508982619179,1.15085894684251,0.0555555555555556,0.196937244389017,159.419169420459,6.40849590301514,"posterior","spectral",NA,NA,NA,"baseline",26,2026414573
NA,0.0931174337880151,0.0931174337880151,0.0931174337880151,0.00548869454507016,1.11568555411007,0.0416666666666667,0.183976789204568,161.956625377604,30.2767822742462,"posterior","random",NA,NA,NA,"baseline",26,2026414573
"gscamm",0.12002784331892,0.218986247376801,0.105344474313378,0.00398962511415634,0.64952523803975,0.833333333333333,1.67005039806199,229.832154727253,10.8217451572418,"structural","kmeans",40,TRUE,269,"baseline",27,1968300777
"gscamm_boot",0.12002784331892,0.218986247376801,0.105344474313378,0.00398962511415634,0.767746632423197,1,21.3165109352981,229.832154727253,946.989731788635,"structural","kmeans",40,TRUE,269,"baseline",27,1968300777
"lda",0.124688186158254,0.124688186158254,0.124688186158254,0.00478807410456535,0.798484981418276,0.111111111111111,0.185015788464808,198.818255649881,51.7948794364929,"posterior","random_dirichlet",NA,NA,NA,"baseline",27,1968300777
"stm",0.0526619790309672,0.0526619790309672,0.0526619790309672,0.00369793289697904,0.758952301738695,0.0833333333333333,0.137237863346314,194.484141231415,8.62078809738159,"posterior","spectral",NA,NA,NA,"baseline",27,1968300777
NA,0.0940054143197889,0.0940054143197889,0.0940054143197889,0.00541136554666843,0.736625059727238,0.0277777777777778,0.125512805821648,200.328387897437,33.7007050514221,"posterior","random",NA,NA,NA,"baseline",27,1968300777
"gscamm",0.155648892182151,0.224183694416304,0.129087849455015,0.00404613492931104,0.912501194800752,0.666666666666667,1.79948974137236,198.323337152321,12.9367949962616,"structural","kmeans",43,TRUE,222,"baseline",28,99596103
"gscamm_boot",0.155648892182151,0.224183694416304,0.129087849455015,0.00404613492931104,1.03204040430071,1,23.23051214436,198.323337152321,1016.97755599022,"structural","kmeans",43,TRUE,222,"baseline",28,99596103
"lda",0.0620450186441506,0.0620450186441506,0.0620450186441506,0.00394099710238719,0.636719759031338,0.208333333333333,0.231057061393661,166.366088708033,32.2606451511383,"posterior","random_dirichlet",NA,NA,NA,"baseline",28,99596103
"stm",0.00897485615654592,0.00897485615654592,0.00897485615654592,0.000644765178473359,0.0846365094120197,0.5,0.120394470197099,165.748133845675,7.13225078582764,"posterior","spectral",NA,NA,NA,"baseline",28,99596103
NA,0.142103129861782,0.142103129861782,0.142103129861782,0.00577522017907194,1.35924200723799,0.0833333333333333,0.172593468800765,171.869752034855,26.2530937194824,"posterior","random",NA,NA,NA,"baseline",28,99596103
"gscamm",0.143797670104656,0.241725010730654,0.142024341729623,0.00483629908198247,0.736558492504728,0.75,1.72280332339179,210.977849072913,12.3404932022095,"structural","kmeans",40,TRUE,262,"baseline",29,1033505728
"gscamm_boot",0.143797670104656,0.241725010730654,0.142024341729623,0.00483629908198247,0.940139421170542,1,22.740485144807,210.977849072913,1004.08628225327,"structural","kmeans",40,TRUE,262,"baseline",29,1033505728
"lda",0.0829611991773724,0.0829611991773724,0.0829611991773724,0.00398226493108619,1.00679462170333,0,0.188856273538013,177.568033838868,50.9437382221222,"posterior","random_dirichlet",NA,NA,NA,"baseline",29,1033505728
"stm",0.0777610286217433,0.0777610286217433,0.0777610286217433,0.00279952364765952,1.09565721635354,0,0.138128138558132,177.634249009943,6.68516778945923,"posterior","spectral",NA,NA,NA,"baseline",29,1033505728
NA,0.107926762379038,0.107926762379038,0.107926762379038,0.00552020679935531,0.893867702356517,0.0277777777777778,0.135701993357405,182.855031674741,28.6784970760345,"posterior","random",NA,NA,NA,"baseline",29,1033505728
"gscamm",0.149011300579204,0.214169669127094,0.108780129500817,0.00388556005499476,0.958064175846129,0.666666666666667,1.70098455270166,192.694264289055,12.983327627182,"structural","kmeans",42,TRUE,233,"baseline",30,1966158718
"gscamm_boot",0.149011300579204,0.214169669127094,0.108780129500817,0.00388556005499476,0.98637943674634,1,21.296377831598,192.694264289055,1006.2235763073,"structural","kmeans",42,TRUE,233,"baseline",30,1966158718
"lda",0.100063562002673,0.100063562002673,0.100063562002673,0.00394099336208777,1.18695364963416,0.0277777777777778,0.267308696600743,160.998661760516,34.1976628303528,"posterior","random_dirichlet",NA,NA,NA,"baseline",30,1966158718
"stm",0.00915913652381295,0.00915913652381295,0.00915913652381295,0.000496955369514889,0.0665011865765945,0.597222222222222,0.116862773322056,160.358717339412,9.3774197101593,"posterior","spectral",NA,NA,NA,"baseline",30,1966158718
NA,0.149988308670936,0.149988308670936,0.149988308670936,0.00472306258349637,1.75092521908391,0.0555555555555556,0.167911028795956,162.169241576435,27.8374960422516,"posterior","random",NA,NA,NA,"baseline",30,1966158718
"gscamm",0.142004740631702,0.205657373173834,0.08414140652012,0.00401570982377535,0.829566833437651,0.569444444444444,1.62161822366747,195.436706333075,9.01939654350281,"structural","kmeans",40,TRUE,266,"baseline",31,1281680709
"gscamm_boot",0.142004740631702,0.205657373173834,0.08414140652012,0.00401570982377535,0.830870323392533,1,19.8388809412949,195.436706333075,995.818895816803,"structural","kmeans",40,TRUE,266,"baseline",31,1281680709
"lda",0.0806963981358743,0.0806963981358743,0.0806963981358743,0.00403087436618496,1.00945101766704,0.152777777777778,0.23100558425793,163.808281760457,57.3975365161896,"posterior","random_dirichlet",NA,NA,NA,"baseline",31,1281680709
"stm",0.00910343551671641,0.00910343551671641,0.00910343551671641,0.000500712066151672,0.0800097876944687,0.486111111111111,0.119110076996239,163.808638879658,6.5607590675354,"posterior","spectral",NA,NA,NA,"baseline",31,1281680709
NA,0.133093169121371,0.133093169121371,0.133093169121371,0.00418924854779188,1.21734215690285,0.0694444444444444,0.145608383126674,166.088218425192,26.8490126132965,"posterior","random",NA,NA,NA,"baseline",31,1281680709
"gscamm",0.141226596123369,0.214692024343303,0.0997692553759226,0.0039450058685391,0.937746030929663,0.625,1.70471032715012,191.111771420489,12.5071620941162,"structural","kmeans",39,TRUE,270,"baseline",32,283800733
"gscamm_boot",0.141226596123369,0.214692024343303,0.0997692553759226,0.0039450058685391,0.963109782686694,1,21.4673516047793,191.111771420489,1070.53785252571,"structural","kmeans",39,TRUE,270,"baseline",32,283800733
"lda",0.10052168988333,0.10052168988333,0.10052168988333,0.00471020626112808,0.953994122124318,0.194444444444444,0.263424155748351,166.410985089756,37.6567552089691,"posterior","random_dirichlet",NA,NA,NA,"baseline",32,283800733
"stm",0.109588815282649,0.109588815282649,0.109588815282649,0.00337610184238178,1.4185844256845,0.0833333333333333,0.163300520144331,160.899417047729,6.77117276191711,"posterior","spectral",NA,NA,NA,"baseline",32,283800733
NA,0.145637556273792,0.145637556273792,0.145637556273792,0.0074394141268171,1.09746963547879,0.0555555555555556,0.137134773818662,172.01987035132,25.3438625335693,"posterior","random",NA,NA,NA,"baseline",32,283800733
"gscamm",0.144200492048177,0.216958276851897,0.0974780723188234,0.0041220192701382,0.777320305345861,0.680555555555556,1.67858655904011,185.402572152626,8.19999361038208,"structural","kmeans",42,TRUE,258,"baseline",33,1715672384
"gscamm_boot",0.144200492048177,0.216958276851897,0.0974780723188234,0.0041220192701382,0.838262913753299,1,19.9096358649541,185.402572152626,1051.56147694588,"structural","kmeans",42,TRUE,258,"baseline",33,1715672384
"lda",0.111013745885327,0.111013745885327,0.111013745885327,0.00511679608193855,0.989309510037235,0.0694444444444444,0.238102958124674,160.560971618257,33.4414961338043,"posterior","random_dirichlet",NA,NA,NA,"baseline",33,1715672384
"stm",0.137196976891158,0.137196976891158,0.137196976891158,0.00374290393571997,1.29795147857704,0.0972222222222222,0.144846673224401,156.665109104882,7.85355091094971,"posterior","spectral",NA,NA,NA,"baseline",33,1715672384
NA,0.153045323397482,0.153045323397482,0.153045323397482,0.00730169671937257,1.26601286281523,0.0555555555555556,0.170976470938618,170.890537408263,25.9044127464294,"posterior","random",NA,NA,NA,"baseline",33,1715672384
"gscamm",0.127188339356144,0.183217326581733,0.0504402236053502,0.00326090585196755,0.685482851393735,0.791666666666667,1.82646735821932,199.849501615304,8.31823444366455,"structural","kmeans",37,TRUE,300,"baseline",34,559838993
"gscamm_boot",0.127188339356144,0.183217326581733,0.0504402236053502,0.00326090585196755,0.677953538107404,1,23.6503539896022,199.849501615304,997.465847730636,"structural","kmeans",37,TRUE,300,"baseline",34,559838993
